,Şehir,PM10,SO2,CO,NO2,O3
0,Adana (Valilik),52,9,247,55,44
1,Adıyaman,53.56,8.75,-,-,-
2,Afyon,39,5.76,-,36,45
3,Ağrı (Merkez),54,6,-,10,58.61
4,Aksaray,44.98,14,383.23,56,60
5,Amasya,36.64,8.53,-,-,-
6,Ankara (Sincan),56.62,2.39,-,44,-
7,Antalya,44.44,2.73,526,32,43
8,Ardahan,30.38,5,-,21,59.6
9,Artvin (Merkez),22,6,-,16,36.83
10,Aydın,41.7,6.95,-,-,-
11,Balıkesir,43.67,10.55,-,23.91,47.65
12,Bartın,52.89,5.53,549.08,30.6,16.13
13,Batman,102,7,-,-,-
14,Bayburt,30.71,6.36,-,24,56.14
15,Bilecik,30,6.32,-,9,58.02
16,Bingöl,57.61,7,-,-,-
17,Bitlis,18,26.21,-,-,-
18,Bolu,37.94,9.73,540.42,28,21.96
19,Burdur,41.08,7.08,743.93,32,58.69
20,Bursa,52,22,-,-,38
21,Çanakkale,40.23,7.9,-,20.38,54.85
22,Çankırı,43.68,20.41,451.69,32.91,9.07
23,Çorum,44,12,-,-,-
24,Denizli (Bayramyeri),71.86,9.59,-,-,-
25,Diyarbakır,39.38,6.24,-,-,-
26,Düzce,74.47,4.73,636.4,19.03,19.01
27,Edirne,68.28,10.37,-,14.08,30
28,Elağzı,53,6.06,-,-,-
29,Erzincan (Merkez),65,7.72,-,34,45.35
30,Erzurum (Taşhan),51.32,-,979.96,51.44,-
31,Eskişehir,-,-,-,-,-
32,Gaziantep,54,9,-,-,-
33,Giresun,53.12,12.02,-,-,-
34,Gümüşhane,48.02,5.85,-,23,35.16
35,Hakkari,15.33,175.41,-,-,-
36,Hatay (Antakya),41.83,11,1149,64,23
37,Iğdır (Merkez),90.73,7.67,-,28,55.43
38,Isparta,42.69,8.7,606.86,41,59.31
39,Mersin,74,9,873,50,31
40,İstanbul (Sultangazi MTHM),54.34,7.44,-,42.12,28.97
41,İzmir (Gaziemir),46.53,11.17,-,-,-
42,Kahramanmaraş,68,22,-,67,22
43,Karabük,54,10,587,23,-
44,Karaman,36.53,6.18,433,29,53.25
45,Kars (Trafik),45.53,-,477.7,34,-
46,Kastamonu,40.93,10.62,533,26.79,21.76
47,Kayseri (Osb),71.98,10.5,560,48,43
48,Kırıkale,48.74,13.49,517.35,28.68,22.26
49,Kırıklareli,42.71,14.46,-,14.09,58.15
50,Kırşehir,31.21,9.2,465,31,25.62
51,Kilis,73,8,540,32,48
52,Kocaeli,40,2.47,-,13.76,32.37
53,Konya (Selçuklu),56.82,4.58,613.68,46,38.63
54,Kütayha,58.16,14,597,34,14.14
55,Malatya,67.16,11.07,-,-,-
56,Manisa,51.17,19,-,-,-
57,Mardin,26.94,17,-,-,-
58,Muğla (Musluhittin),52.64,22.5,-,-,-
59,Muş,109.44,7.76,-,-,-
60,Nevşehir,41.72,9.73,454.93,32,54
61,Niğde,45.24,9,380,33,56
62,Ordu (Ünye),63,12,-,56,38
63,Osmaniye,52,5,-,-,-
64,Rize (Merkez),31,3.13,-,25,32.62
65,Sakarya,46.26,5.87,-,12.44,25.74
66,Samsun (Atakum),33.07,8,-,22,13
67,Şanlıurfa,33.07,36.87,-,-,-
68,Siirt,46,17.03,-,-,-
69,Sinop,37.79,5,-,-,-
70,Şırnak,71,38.19,-,-,-
71,Sivas (İstasyon Kavşağı),57,-,1523,65,-
72,Tekirdağ,25.85,9.52,-,19,25.34
73,Tokat,28,12,-,-,-
74,Trabzon (Valilik),30,7,-,27,52
75,Tunceli,44,30,-,-,-
76,Uşak,-,-,-,-,-
77,Van,39.72,21.92,-,-,-
78,Yalova,37.91,6.65,-,34.5,52
79,Yozgat,37.8,12.69,416.83,29.25,-
80,Zonguldak,60.67,7.01,596.79,35.24,-
